# From Table 17 "Register Address Map" of the LSM303DLHC data sheet
#
# Accelerometer slave address:  0011001x

# Accel address
# Reserved, 00-1F
register, type, hex, binary, default
CTRL_REG1_A, rw, 0x20, 0100000, 00000111
CTRL_REG2_A, rw, 0x21, 0100001, 00000000
CTRL_REG3_A, rw, 0x22, 0100010, 00000000
CTRL_REG4_A, rw, 0x23, 0100011, 00000000
CTRL_REG5_A, rw, 0x24, 0100100, 00000000
CTRL_REG6_A, rw, 0x25, 0100101, 00000000
REFERENCE_A, rw, 0x26, 0100110, 00000000
STATUS_REG_A, r, 0x27, 0100111, 00000000
OUT_X_L_A, r, 0x28, 0101000, output
OUT_X_H_A, r, 0x29, 0101001, output
OUT_Y_L_A, r, 0x2A, 0101010, output
OUT_Y_H_A, r, 0x2B, 0101011, output
OUT_Z_L_A, r, 0x2C, 0101100, output
OUT_Z_H_A, r, 0x2D, 0101101, output
FIFO_CTRL_REG_A, rw, 0x2E, 0101110, 00000000
FIFO_SRC_REG_A, r, 0x2F, 0101111, 
INT1_CFG_A, rw, 0x30, 0110000, 00000000
INT1_SOURCE_A, r, 0x31, 0110001, 00000000
INT1_THS_A, rw, 0x32, 0110010, 00000000
INT1_DURATION_A, rw, 0x33, 0110011, 00000000
INT2_CFG_A, rw, 0x34, 0110100, 00000000
INT2_SOURCE_A, r, 0x35, 0110101, 00000000
INT2_THS_A, rw, 0x36, 0110110, 00000000
INT2_DURATION_A, rw, 0x37, 0110111, 00000000
CLICK_CFG_A, rw, 0x38, 0111000, 00000000
CLICK_SRC_A, rw, 0x39, 0111001, 00000000
CLICK_THS_A, rw, 0x3A, 0111010, 00000000
TIME_LIMIT_A, rw, 0x3B, 0111011, 00000000
TIME_LATENCY_A, rw, 0x3C, 0111100, 00000000
TIME_WINDOW_A, rw, 0x3D, 0111101, 00000000
# Reserved, 3E
# Reserved, 3F

